"","lat","long","missing","county"
"1",-15.716812,-47.956794,190,"BRASÍLIA"
"2",-15.625844,-48.135284,46,"BRAZLÂNDIA"
"3",-15.856203,-47.946154,12,"CANDANGOLÂNDIA"
"4",-15.828581,-48.193976,377,"CEILÂNDIA"
"5",-15.794847,-47.931772,13,"CRUZEIRO"
"6",-16.000129,-48.141006,132,"GAMA"
"7",-15.812641,-47.978439,91,"GUARÁ"
"8",-15.729028,-47.838231,16,"LAGO NORTE"
"9",-15.897771,-47.880762,20,"LAGO SUL"
"10",-15.909841,-47.968216,24,"NÚCLEO BANDEIRANTE"
"11",-15.915463,-47.558112,80,"PARANOÁ"
"12",-15.670502,-47.531959,191,"PLANALTINA"
"13",-15.931419,-48.13896,120,"RECANTO DAS EMAS"
"14",-15.912506,-48.019581,29,"RIACHO FUNDO"
"15",-15.890422,-48.155118,213,"SAMAMBAIA"
"16",-16.009043,-47.9106,107,"SANTA MARIA"
"17",-15.965573,-47.726502,126,"SÃO SEBASTIÃO"
"18",-15.602184,-47.855568,85,"SOBRADINHO"
"19",-15.8077,-48.048949,226,"TAGUATINGA"
